[Iter 5/97] 步数: 10240, FPS: 176, 奖励: -43.97, 回合长度: 33.1, 胜率: 32.50%, 损失: 22.1932, 策略损失: -0.0124, 价值损失: 44.6973, 熵: 7.1529
[Iter 10/97] 步数: 20480, FPS: 176, 奖励: -36.05, 回合长度: 32.0, 胜率: 32.00%, 损失: 11.8478, 策略损失: -0.0261, 价值损失: 24.0365, 熵: 7.2163
[Iter 15/97] 步数: 30720, FPS: 156, 奖励: -34.83, 回合长度: 31.8, 胜率: 31.50%, 损失: 10.0157, 策略损失: -0.0329, 价值损失: 20.3748, 熵: 6.9412
[Iter 20/97] 步数: 40960, FPS: 154, 奖励: -39.86, 回合长度: 31.1, 胜率: 30.00%, 损失: 7.9903, 策略损失: -0.0303, 价值损失: 16.3179, 熵: 6.9211
[Iter 25/97] 步数: 51200, FPS: 157, 奖励: -36.78, 回合长度: 30.4, 胜率: 29.00%, 损失: 9.7970, 策略损失: -0.0305, 价值损失: 19.9357, 熵: 7.0144
[Iter 30/97] 步数: 61440, FPS: 158, 奖励: -37.04, 回合长度: 33.1, 胜率: 31.50%, 损失: 8.8071, 策略损失: -0.0279, 价值损失: 17.9491, 熵: 6.9814
[Iter 35/97] 步数: 71680, FPS: 155, 奖励: -43.24, 回合长度: 33.1, 胜率: 33.00%, 损失: 7.0915, 策略损失: -0.0334, 价值损失: 14.5310, 熵: 7.0264
[Iter 40/97] 步数: 81920, FPS: 135, 奖励: -43.72, 回合长度: 33.2, 胜率: 32.00%, 损失: 10.2451, 策略损失: -0.0227, 价值损失: 20.8212, 熵: 7.1374
[Iter 45/97] 步数: 92160, FPS: 114, 奖励: -50.25, 回合长度: 34.6, 胜率: 33.50%, 损失: 10.2035, 策略损失: -0.0221, 价值损失: 20.7427, 熵: 7.2885
[Iter 50/97] 步数: 102400, FPS: 112, 奖励: -45.51, 回合长度: 29.8, 胜率: 29.00%, 损失: 11.5826, 策略损失: -0.0367, 价值损失: 23.5399, 熵: 7.5293
[Iter 55/97] 步数: 112640, FPS: 114, 奖励: -43.38, 回合长度: 28.3, 胜率: 27.50%, 损失: 14.4474, 策略损失: -0.0281, 价值损失: 29.2580, 熵: 7.6761
[Iter 60/97] 步数: 122880, FPS: 117, 奖励: -54.79, 回合长度: 36.3, 胜率: 35.50%, 损失: 10.1086, 策略损失: -0.0477, 价值损失: 20.6256, 熵: 7.8249
[Iter 65/97] 步数: 133120, FPS: 119, 奖励: -49.27, 回合长度: 33.8, 胜率: 31.50%, 损失: 8.2960, 策略损失: -0.0584, 价值损失: 17.0250, 熵: 7.9064
[Iter 70/97] 步数: 143360, FPS: 120, 奖励: -51.32, 回合长度: 34.9, 胜率: 34.50%, 损失: 9.2278, 策略损失: -0.0494, 价值损失: 18.8720, 熵: 7.9413
[Iter 75/97] 步数: 153600, FPS: 121, 奖励: -48.98, 回合长度: 35.5, 胜率: 34.50%, 损失: 9.6495, 策略损失: -0.0423, 价值损失: 19.7081, 熵: 8.1134
[Iter 80/97] 步数: 163840, FPS: 123, 奖励: -51.22, 回合长度: 35.8, 胜率: 34.00%, 损失: 6.7795, 策略损失: -0.0544, 价值损失: 13.9932, 熵: 8.1383
[Iter 85/97] 步数: 174080, FPS: 125, 奖励: -49.21, 回合长度: 34.8, 胜率: 32.50%, 损失: 7.4468, 策略损失: -0.0605, 价值损失: 15.3399, 熵: 8.1334
[Iter 90/97] 步数: 184320, FPS: 125, 奖励: -50.06, 回合长度: 38.4, 胜率: 36.50%, 损失: 7.0372, 策略损失: -0.0588, 价值损失: 14.5207, 熵: 8.2153
[Iter 95/97] 步数: 194560, FPS: 121, 奖励: -44.94, 回合长度: 32.5, 胜率: 29.00%, 损失: 6.6499, 策略损失: -0.0471, 价值损失: 13.7232, 熵: 8.2310
